id;ref:FR:sncf:resarail;UIC;railway:ref;name;ref:FR:uic8
486;FRCBZ;8768364;CBZ;Cravant - Bazarnes;87683649
487;FRGNN;8768372;SZZ;Sermizelles - Vézelay;87683722
488;FRGNS;8768378;AVA;Avallon;87683789
489;FRACK;8744487;CBU;Cherbourg-en-Cotentin;87444877
490;FRGOI;8768440;BWI;Boigneville;87684407
491;FRGOJ;8768441;MAL;Malesherbes;87684415
492;FRGON;8768603;PAA;Paris Gare de Lyon RER;87686030
493;FRPLY;8768600;PLY;Paris Gare de Lyon Hall 1 & 2;87686006
494;FREPG;8754017;DA;Dourdan La Forêt;87540179
495;FRPBE;8768666;PBY;Paris Bercy Bourgogne Pays d'Auvergne;87686667
496;FRTAR;8744617;TEW;Saint-Cyprien Arènes;87446179
497;FRDUQ;8744771;SSX;Saint-Sever;87447714
498;FRGFR;8744768;GRV;Granville;87447680
499;FRDUO;8744769;VDS;Villedieu-les-Poêles;87447698
500;FRFOL;8744764;FOL;Folligny;87447649
501;FRILQ;8778108;LFQ;Leucate La Franqui;87781088
502;FRBZR;8778100;BS;Béziers;87781005
503;FRILP;8778106;PLN;Port-la-Nouvelle;87781062
504;FRXNA;8778110;NA;Narbonne;87781104
505;FRILR;8778116;KOS;Coursan;87781161
506;FRDTI;8744718;PNT;Pont-Hébert;87447185
507;FRDTC;8744711;CCS;Coutances;87447110
508;FRDTE;8744714;CIG;Carantilly - Marigny;87447144
509;FRSLO;8744700;SLO;Saint-Lô;87447003
510;FRDTO;8744728;VAL;Valognes;87447284
511;FRDTK;8744724;CAR;Carentan;87447243
512;FRLSN;8744721;LSN;Lison;87447219
513;FRTJB;8730086;BNQ;Besançon Franche-Comté TGV;87300863
514;FRTJA;8730082;BFB;Belfort - Montbéliard TGV;87300822
515;FRFEW;8758610;PSM;Port-Sainte-Marie;87586107
516;FRAGF;8758600;AN;Agen;87586008
520;FRXTH;8719100;THL;Thionville;87191007
521;FRBNO;8719109;WAB;Walygator Parc;87191098
522;FRBNR;8719113;UCK;Uckange;87191130
523;FRHTG;8719116;HET;Hettange-Grande;87191163
524;FRBNP;8719110;MMZ;Maizières-lès-Metz;87191106
525;FRHGD;8719111;HGD;Hagondange;87191114
526;FRBNT;8719123;HAY;Hayange;87191239
536;FRBOL;8719160;BHD;Basse-Ham;87191601
537;FRBOM;8719161;KER;Kœnigsmacker;87191619
538;FRBON;8719162;MKG;Malling;87191627
539;FRBOO;8719163;SIK;Sierck-les-Bains;87191635
540;FRABE;8719168;ABE;Auboué;87191684
541;FRBOQ;8719169;HOM;Homécourt;87191692
542;FRBOP;8719164;AP;Apach;87191643
543;FRXMR;8758654;MMD;Marmande;87586545
544;FRFFT;8758649;SVE;Sauveterre-la-Lémance;87586495
545;FRFFP;8758644;TTL;Trentels Ladignac;87586446
546;FRMLS;8758645;MLS;Monsempron-Libos;87586453
547;FRFFR;8758647;XBZ;Sainte-Bazeille;87586479
548;FRFFL;8758640;PU;Pont-du-Casse;87586404
549;FRFFM;8758641;LRQ;Laroque;87586412
550;FRFFO;8758643;PNE;Penne (Lot-et-Garonne);87586438
551;FRAON;8758669;AIN;Aiguillon;87586693
552;FRFFZ;8758665;TON;Tonneins;87586651
553;FRRMI;8719223;RMI;Rémilly;87192237
554;FRBPO;8719220;PTE;Peltre;87192203
555;FRBPP;8719221;CCD;Courcelles-sur-Nied;87192211
556;FRBPQ;8719222;SWN;Sanry-sur-Nied;87192229
557;FRBPV;8719228;MHG;Morhange;87192286
558;FRBEN;8719230;BEN;Bénestroff;87192302
559;FRBPY;8719240;ASM;Ars-sur-Moselle;87192401
560;FRBQA;8719246;PMO;Pagny-sur-Moselle;87192468
561;FRBQB;8719247;VNU;Vandières;87192476
562;FRBPZ;8719241;AYM;Ancy-sur-Moselle;87192419
563;FRNEN;8719242;NEN;Novéant-sur-Moselle;87192427
564;FRONV;8719243;ONV;Onville;87192435
565;FRBQJ;8719265;BRT;Baroncourt;87192658
566;FRCFJ;8719266;CJ;Conflans - Jarny;87192666
567;FRBQL;8719272;HZE;Hatrize;87192724
568;FRBQM;8719273;VOY;Valleroy - Moineville;87192732
569;FRADE;8719203;MZ;Metz;87192039
570;FRMZN;8719207;MZD;Metz Nord;87192070
571;FRBPD;8719208;WPY;Woippy;87192088
572;FRGLN;8768182;VSB;Villeneuve-Saint-Georges;87681825
573;FRGLM;8768180;VSG;Villeneuve Triage;87681809
574;FRGLI;8768160;ESO;Essonnes Robinson;87681601
575;FRGLJ;8768161;VBV;Villabé;87681619
576;FRGLK;8768162;IBM;Le Plessis Chênet;87681627
577;FRGLL;8768163;CEX;Le Coudray-Montceaux;87681635
578;FRBOT;8719171;MG;Moyeuvre-Grande;87191718
579;FRBOW;8719173;RBS;Rombas - Clouange;87191734
580;FRBOX;8719174;GDG;Gandrange - Amnéville;87191742
581;FRBOS;8719170;JOF;Jœuf;87191700
582;FRCOE;8768100;COE;Corbeil-Essonnes;87681007
583;FRGKP;8768115;MFA;Maisons-Alfort - Alfortville;87681155
585;FRGLE;8768143;BUR;Ballancourt;87681437
586;FRGLB;8768140;MJW;Moulin Galant;87681403
587;FRGLC;8768141;MNY;Mennecy;87681411
588;FRGLF;8768147;BJN;Boutigny;87681478
589;FRLFA;8768145;LFA;La Ferté-Alais;87681452
590;FRGLG;8768148;MSN;Maisse;87681486
591;FRGLH;8768151;BQV;Buno - Gironville;87681510
592;FRGKQ;8768124;VD;Le Vert de Maisons;87681247
593;FRGKS;8768131;VWC;Viry-Châtillon;87681312
594;FRGKR;8768130;VGS;Vigneux-sur-Seine;87681304
595;FRGKW;8768135;GBG;Grand Bourg;87681353
596;FRGKX;8768136;EVR;Évry Val de Seine;87681361
597;FRGKU;8768133;RIS;Ris-Orangis;87681338
598;FRGKV;8768134;OBP;Orangis Bois de l'Épine;87681346
599;FRGLA;8768139;BFX;Le Bras de Fer;87681395
600;FRGKY;8768137;GGG;Grigny Centre;87681379
601;FRGKZ;8768138;EVC;Évry-Courcouronnes;87681387
602;FRBRK;8719334;TET;Teting;87193342
603;FRBRL;8719335;FAQ;Faulquemont;87193359
604;FRBRJ;8719331;SVD;Saint-Avold;87193318
605;FRBRN;8719338;HY;Herny;87193383
607;FRBRW;8719351;FBR;Farébersviller;87193516
608;FRBRX;8719352;FWR;Farschviller;87193524
609;FRBRZ;8719354;HD;Hundling;87193540
610;FRSGS;8719361;SGS;Sarreguemines;87193615
611;FRKHS;8719366;KHS;Kalhausen;87193664
612;FRBSK;8719367;HBZ;Herbitzheim;87193672
613;FRBSG;8719362;RFG;Rémelfing;87193623
614;FRBSH;8719363;SRG;Sarreinsming;87193631
615;FRBSI;8719364;ZG;Zetting;87193649
616;FRBSJ;8719365;WIG;Wittring;87193656
617;FRSRB;8719371;SRB;Sarralbe;87193714
618;FRXSF;8768300;SES;Sens;87683003
620;FRGMO;8768312;CSY;Champigny sur Yonne;87683128
621;FRGMN;8768310;VVG;Villeneuve-la-Guyard;87683102
622;FRGMP;8768313;PUY;Pont-sur-Yonne;87683136
623;FRLCH;8710930;ECR;Lille CHR;87109306
624;FRBQT;8719300;FB;Forbach;87193003
625;FRBRF;8719317;BZV;Bouzonville;87193177
626;FRBNG;8719325;BNG;Béning;87193250
627;FRBRI;8719327;HOH;Hombourg-Haut;87193276
628;FRGLY;8768220;BJR;Bois-le-Roi;87682203
629;FRGMA;8768229;SF;Saint-Mammès;87682294
630;FRAFE;8768221;FON;Fontainebleau - Avon;87682211
631;FRMOR;8768227;MOR;Moret - Veneux-les-Sablons;87682278
632;FRGLZ;8768225;TMR;Thomery;87682252
633;FRMTU;8768230;MTU;Montereau;87682302
634;FRMEL;8768200;MEL;Melun;87682005
635;FRGLX;8768218;ZTN;Savigny-le-Temple - Nandy;87682187
636;FRGLR;8768212;BNY;Brunoy;87682120
637;FRGLS;8768213;BXI;Boussy-Saint-Antoine;87682138
638;FRGLP;8768210;KRW;Montgeron - Crosne;87682104
639;FRGLQ;8768211;YES;Yerres;87682112
640;FRGLV;8768216;CES;Cesson;87682161
641;FRGLW;8768217;WEE;Le Mée;87682179
642;FRGLT;8768214;CBV;Combs-la-Ville - Quincy;87682146
643;FRGLU;8768215;LIU;Lieusaint - Moissy;87682153
644;FRGMC;8768241;CJR;Chartrettes;87682419
645;FRGMD;8768242;FPO;Fontaine-le-Port;87682427
646;FRGMB;8768240;LYQ;Livry-sur-Seine;87682401
647;FRGMG;8768245;CME;Champagne-sur-Seine;87682450
648;FRGMH;8768246;VSS;Vernou-sur-Seine;87682468
649;FRGME;8768243;HER;Héricy;87682435
650;FRGMF;8768244;VUN;Vulaines-sur-Seine - Samoreau;87682443
651;FRGMI;8768247;GPA;La Grande-Paroisse;87682476
652;FRGML;8768252;POP;Ponthierry - Pringy;87682526
653;FRGMJ;8768250;VOM;Vosves;87682500
654;FRGMK;8768251;BKR;Boissise-le-Roi;87682518
655;FRGMM;8768254;XFA;Saint-Fargeau;87682542
656;FRFAJ;8758138;LVD;Le Verdon;87581389
657;FRFAK;8758139;PDG;Pointe de Grave;87581397
658;FRFAI;8758137;SUU;Soulac-sur-Mer;87581371
659;FRFAD;8758131;LSE;Lesparre;87581314
660;FREZW;8758123;MUL;Moulis - Listrac;87581231
661;FREZY;8758125;PAC;Pauillac;87581256
662;FREZU;8758121;MGU;Margaux;87581215
663;FRUWA;8758159;;Cenon;87581595
664;FRFAM;8758153;CUD;Caudéran - Mérignac;87581538
665;FRFAS;8758179;ATF;Pessac Alouette;87581793
666;FRFAR;8758175;PSC;Pessac;87581751
667;FRFAO;8758171;PPY;Parempuyre;87581710
668;FRFAP;8758172;BQF;Blanquefort;87581728
669;FRFAQ;8758173;BGH;Bruges (Gironde);87581736
670;FRFAV;8758185;BAS;Bassens;87581850
671;FRFAU;8758183;VIO;Villenave-d'Ornon;87581835
672;FRFAT;8758180;BGL;Bègles;87581801
673;FREKZ;8748731;PZ;Pouzauges;87487314
674;FREKX;8748728;CEZ;Cerizay;87487280
675;FRBRS;8748724;BRS;Bressuire;87487249
677;FRACN;8748760;SUD;Saumur;87487603
678;FRELJ;8748763;MBL;Montreuil-Bellay;87487637
679;FREZR;8758118;LXN;Ludon;87581181
680;FREZS;8758119;MCA;Macau;87581199
682;FRBOJ;8758100;BX;Bordeaux Saint-Jean;87581009
683;FRELX;8748788;MEQ;La Ménitré;87487884
684;FRELY;8748789;SNZ;Saint-Mathurin-sur-Loire;87487892
685;FRELW;8748787;ROR;Les Rosiers-sur-Loire;87487876
686;FRELV;8748784;WBH;La Bohalle;87487843
687;FRXVS;8734300;VS;Valenciennes;87343004
688;FRBUS;8734316;BUS;Beuvrages;87343160
689;FRCYX;8734310;SAM;Saint-Amand-les-Eaux;87343103
690;FRLDZ;8700969;YYA;La Douzillère;87009696
691;FRFCE;8758255;LBH;Labouheyre;87582551
692;FRFCD;8758253;YX;Ychoux;87582536
693;FRFCA;8758244;MCP;Marcheprime;87582445
694;FRFAC;8758247;FA;Biganos Facture;87582478
695;FRFBW;8758240;GAZ;Gazinet Cestas;87582403
696;FRFCT;8758277;LG;Langon;87582775
697;FRFCP;8758273;POD;Podensac;87582734
698;FRFCQ;8758274;CGD;Cérons;87582742
699;FRFCR;8758275;BSQ;Barsac;87582759
700;FRFCS;8758276;PRG;Preignac;87582767
701;FRFCM;8758270;BIR;Beautiran;87582700
702;FRFCN;8758271;PRV;Portets;87582718
703;FRFCO;8758272;ABH;Arbanats;87582726
704;FRXAC;8758266;ARC;Arcachon;87582668
705;FRFCK;8758268;CDJ;Cadaujac;87582684
706;FRFCL;8758269;SYS;Saint-Médard-d'Eyrans;87582692
707;FRFCI;8758263;HUE;La Hume;87582635
708;FRFCJ;8758264;TTE;La Teste;87582643
709;FRFCG;8758260;TEH;Le Teich;87582601
710;FRFCH;8758261;GUJ;Gujan-Mestras;87582619
711;FRFCZ;8758288;LOH;Lamothe-Landerron;87582882
712;FRFCW;8758284;KDT;Caudrot;87582841
713;FRFCX;8758285;GID;Gironde;87582858
714;FRFCY;8758286;REO;La Réole;87582866
715;FRFCU;8758282;SNW;Saint-Macaire;87582825
716;FRFCV;8758283;SPX;Saint-Pierre-d'Aurillac;87582833
717;FRCXH;8734208;RUX;Rœux;87342089
718;FRCXI;8734209;BIA;Biache-Saint-Vaast;87342097
719;FRCXF;8734206;COK;Courcelles-le-Comte;87342063
720;FRCXG;8734207;BLX;Boisleux;87342071
721;FRACT;8734204;ACT;Achiet;87342048
722;FRCXE;8734203;MIK;Miraumont;87342030
723;FRXBH;8734200;BET;Béthune;87342006
724;FRQRV;8734201;ARR;Arras;87342014
725;FRCXQ;8734218;MUI;Marœuil;87342188
726;FRCXM;8734213;NOX;Nœux-les-Mines;87342139
727;FRCXK;8734211;VYN;Vitry-en-Artois;87342113
728;FRCXL;8734212;MJG;Mazingarbe;87342121
729;FRCXJ;8734210;BG;Bully - Grenay;87342105
730;FRCXZ;8734228;TEE;Thiennes;87342287
731;FRCYA;8734229;SBQ;Steenbecque;87342295
732;FRCXX;8734226;HMA;Ham-en-Artois;87342261
733;FRCXY;8734227;BI;Isbergues;87342279
734;FRCXV;8734224;ABI;Aubigny-en-Artois;87342246
735;FRCXW;8734225;ZYB;Savy-Berlette;87342253
736;FRCXT;8734222;CHO;Chocques;87342220
737;FRCXU;8734223;LLL;Lillers;87342238
738;FRFQE;8734220;FQE;Fouquereuil;87342204
739;FRCXS;8734221;FVK;Frévin-Capelle;87342212
740;FRSPT;8734233;SPT;Saint-Pol-sur-Ternoise;87342337
741;FRCYB;8734230;TIN;Tincques;87342303
742;FRCYK;8734246;MQS;Marquillies;87342469
743;FRCYJ;8734245;SWM;Salomé;87342451
744;FRCYI;8734243;BII;La Bassée;87342436
745;FRCYF;8734240;BVR;Beuvry lès Béthune;87342402
746;FRCYG;8734241;CUH;Cuinchy;87342410
747;FRCYU;8734259;BSH;Bailleul-Sir-Berthoult;87342592
748;FRCYS;8734257;VMY;Vimy;87342576
749;FRCYT;8734258;AON;Avion;87342584
750;FRCYQ;8734255;PEC;Pernes - Camblain;87342550
751;FRCYO;8734253;VML;Vis à Marles;87342535
752;FRCYP;8734254;CPC;Calonne-Ricouart;87342543
753;FRCYN;8734252;FAU;Farbus;87342527
754;FRFDL;8758369;CIC;Chalais;87583690
755;FRFDK;8758367;MMA;Montmoreau;87583674
756;FRKHD;8758361;LCN;La Couronne;87583617
757;FRFDS;8758384;RU;Ruffec (Charente);87583849
758;FRFDQ;8758382;LXC;Luxé;87583823
759;FRCYZ;8734321;LEP;Le Poirier Université;87343210
760;FRCZB;8734330;WS;Wallers;87343301
761;FRCZC;8734331;RAS;Raismes;87343319
762;FRLOU;8734347;LOU;Lourches;87343475
764;FRCZG;8734345;DEN;Denain;87343459
765;FRCZE;8734341;PRT;Prouvy - Thiant;87343418
766;FRCZD;8734340;TSL;Trith-Saint-Léger;87343400
767;FRANG;8758300;A;Angoulême;87583005
768;FRFDB;8758320;RUL;Ruelle-sur-Touvre;87583203
769;FRFDE;8758344;CBN;Chasseneuil-sur-Bonnieure;87583443
770;FRFDF;8758346;RZS;Roumazières-Loubert;87583468
771;FRFDD;8758342;LRO;La Rochefoucauld;87583427
772;FRCZL;8734503;LQG;Loos-en-Gohelle;87345033
773;FRCZM;8734504;LVW;Liévin;87345041
774;FRXLE;8734502;LNS;Lens;87345025
775;FRXDN;8734500;DO;Douai;87345009
776;FRDOU;8734516;DOU;Dourges;87345165
777;FRCZS;8734514;BYM;Billy-Montigny;87345140
778;FRCZT;8734515;HBE;Hénin-Beaumont;87345157
779;FRCZQ;8734512;PSJ;Pont de Sallaumines;87345124
780;FRCZR;8734513;CQW;Coron de Méricourt;87345132
781;FRCZO;8734510;BSU;Brebières;87345108
782;FRCZP;8734511;COR;Corbehem;87345116
783;FRDAA;8734527;MHN;Meurchin;87345272
784;FRDAB;8734528;BVP;Bauvin - Provin;87345280
785;FRLIB;8734525;LIB;Libercourt;87345256
786;FRCZZ;8734526;PAV;Pont-à-Vendin;87345264
787;FRCZY;8734523;LOO;Loison-sous-Lens;87345231
788;FROIC;8734524;OIC;Ostricourt;87345249
789;FRCZW;8734521;SLI;Sallaumines;87345215
790;FRCZX;8734522;LEF;Leforest;87345223
791;FRCZV;8734520;PDD;Pont de la Deûle;87345207
792;FRDAI;8734538;BAK;Bouchain;87345389
793;FRDAJ;8734539;IWY;Iwuy;87345397
794;FRDAC;8734530;MYO;Montigny-en-Ostrevent;87345306
795;FRSOM;8734531;SOM;Somain;87345314
796;FRDAU;8734549;EDV;Escaudœuvres;87345496
797;FRDAN;8734543;BPN;Brunémont;87345439
798;FRDAO;8734544;AAB;Aubigny-au-Bac;87345447
799;FRDAL;8734541;CNK;Cantin;87345413
800;FRDAM;8734542;ARX;Arleux;87345421
801;FRDAK;8734540;SIN;Sin-le-Noble;87345405
802;FRDBB;8734558;CTT;Cattenières;87345587
803;FRDBC;8734559;WAM;Wambaix;87345595
804;FRDAZ;8734556;CAU;Caudry;87345561
805;FRDAX;8734554;MAK;Maurois;87345546
806;FRDAY;8734555;BTD;Bertry;87345553
807;FRAFX;8734552;CAM;Cambrai;87345520
808;FRFDZ;8758417;VLN;Vélines;87584177
809;FRFEA;8758419;SFY;Sainte-Foy-la-Grande;87584193
810;FRFDW;8758413;CIO;Castillon;87584136
811;FRFDX;8758415;LMH;Lamothe-Montravel;87584151
812;FRFDT;8758410;SEI;Saint-Émilion;87584102
813;FRXLR;8758405;LI;Libourne;87584052
814;FRFED;8758424;LZE;Lamonzie-Saint-Martin;87584243
815;FREGC;8758426;BGC;Bergerac;87584268
816;FRFEB;8758420;XAB;Saint-Antoine-de-Breuilh;87584201
817;FRFEC;8758423;GAO;Gardonne;87584235
818;FRFEN;8758453;EGE;Les Églisottes;87584532
819;FRFEO;8758454;SAI;Saint-Aigulin - La Roche-Chalais;87584540
820;FRFEM;8758450;XDS;Saint-Denis-de-Pile;87584508
821;FRCOU;8758451;COU;Coutras;87584516
822;FRFEK;8758446;MZJ;Mauzac;87584466
823;FRFEL;8758447;TMA;Trémolat;87584474
824;FRFEH;8758442;CZD;Couze;87584425
825;FRFEI;8758444;LLK;Lalinde;87584441
826;FRFEV;8758475;GOP;La Gorp;87584755
827;FRFER;8758471;VYR;Vayres;87584714
828;FRFES;8758472;IZ;Saint-Sulpice - Izon;87584722
829;FRFET;8758473;SIT;Saint-Loubès;87584730
830;FRFEP;8758460;SMZ;Saint-Médard-de-Guizières;87584607
831;FRFEQ;8758461;SUN;Saint-Seurin-sur-l'Isle;87584615
832;FRHMS;8773474;RET;Retournac;87734749
833;FRHMQ;8773472;VOE;Vorey;87734723
834;FRHMR;8773473;CML;Chamalières-sur-Loire;87734731
835;FRHMO;8773470;LVL;Lavoûte-sur-Loire;87734707
836;FRHMP;8773471;SWC;Saint-Vincent le Château;87734715
837;FRHMY;8773487;MIA;Massiac - Blesle;87734871
838;FRHKX;8773416;ORX;Le Cendre - Orcet;87734160
839;FRHKY;8773417;MVY;Les Martres-de-Veyre;87734178
840;FRHKW;8773415;SLC;Sarliève Cournon;87734152
841;FRAPS;8773412;AGE;Aigueperse;87734129
842;FRHKT;8773410;PMT;Pontmort;87734103
843;FRHKU;8773411;AUK;Aubiat;87734111
844;FRHKR;8773408;PCV;Pont-du-Château;87734087
845;FRHLB;8773420;ISS;Issoire;87734202
846;FRARV;8773425;ARV;Arvant;87734251
847;FRHLF;8773426;BRD;Brioude;87734269
848;FRHLE;8773424;BLM;Brassac-les-Mines - Sainte-Florine;87734244
849;FRHLC;8773422;BCZ;Le Breuil-sur-Couze;87734228
850;FRHKZ;8773418;VLC;Vic-le-Comte;87734186
851;FRHLA;8773419;PCC;Parent - Coudes - Champeix;87734194
852;FRRIO;8773405;RIO;Riom - Châtel-Guyon;87734053
853;FRHKO;8773403;RYA;Royat - Chamalières;87734038
854;FRHKP;8773404;GEZ;Gerzat;87734046
855;FRCFE;8773400;CLE;Clermont-Ferrand;87734004
856;FRHLW;8773450;NOI;Noirétable;87734509
857;FRLPY;8773469;LPU;Le Puy-en-Velay;87734699
858;FRDAR;8773467;DAR;Darsac;87734673
859;FRSGA;8773430;SGA;Saint-Georges-d'Aurac;87734301
860;FRHLI;8773431;LNG;Langeac;87734319
861;FRHLN;8773436;LCZ;Luc;87734368
862;FRHLL;8773434;CPX;Chapeauroux;87734343
863;FRHLM;8773435;LGG;Langogne;87734350
864;FRHLK;8773433;MNR;Monistrol-d'Allier;87734335
865;FRHLH;8773429;PLH;Paulhaguet;87734293
866;FRHLQ;8773442;VTZ;Vertaizon;87734426
867;FRTHI;8773447;THI;Thiers;87734475
868;FRPDO;8773445;PDO;Pont de Dore;87734459
869;FRHLS;8773444;LEZ;Lezoux;87734442
870;FREHG;8748417;MNS;Morannes;87484170
871;FREHD;8748414;TCE;Tiercé;87484147
872;FREHE;8748415;EEF;Étriché - Châteauneuf;87484154
873;FREHC;8748413;VXB;Le Vieux Briollay;87484139
874;FREHB;8748411;ECT;Écouflant;87484113
875;FREHA;8748404;AME;Angers Maître École;87484048
876;FRACL;8748400;ASL;Angers Saint-Laud;87484006
877;FRCET;8748430;CHT;Cholet;87484303
878;FREHR;8748438;VDE;Varades - Saint-Florent-le-Vieil;87484386
879;FREHP;8748436;IGA;Ingrandes sur Loire;87484360
880;FREHO;8748435;CWL;Champtocé-sur-Loire;87484352
881;FREHM;8748432;ZVN;Savennières - Béhuard;87484329
882;FRLPO;8748433;LPO;La Possonnière;87484337
883;FREHH;8748420;CNE;Chalonnes;87484204
884;FREHK;8748424;CHE;Chemillé;87484246
886;FRUVJ;8748519;AGT;Aigrefeuille - Le Thou;87485193
887;FRUVH;8748518;JAR;La Jarrie;87485185
888;FREIO;8748515;TNC;Tonnay-Charente;87485151
889;FRLLD;8748513;SSC;Saint-Laurent-de-la-Prée - Fouras;87485136
890;FRRCO;8748514;RC;Rochefort;87485144
891;FREIL;8748511;CTL;Châtelaillon-Plage;87485110
892;FRLHM;8748510;AOM;Angoulins sur Mer;87485102
893;FRLRH;8748500;LR;La Rochelle;87485003
894;FRNIT;8748530;NT;Niort;87485300
895;FREIY;8748535;PIH;Prissé la Charrière;87485359
896;FREIW;8748533;MRJ;Marigny;87485334
897;FREIX;8748534;BVK;Beauvoir-sur-Niort;87485342
898;FREIV;8748532;FOW;Fors;87485326
899;FREIR;8748526;PND;Prin-Deyrançon;87485268
900;FREIQ;8748525;MAZ;Mauzé;87485250
901;FREIP;8748522;SGE;Surgères;87485227
902;FREJE;8748552;PAP;Pamproux;87485524
903;FREJD;8748550;LHY;La Mothe-Saint-Héray;87485508
904;FREJF;8748553;RIL;Rouillé;87485532
905;FREJG;8748554;LUI;Lusignan;87485540
906;FREJC;8748549;SMX;Saint-Maixent-l'École;87485490
907;FREJA;8748547;CCK;La Crèche;87485474
909;FRTHR;8748700;TH;Thouars;87487009
910;FREKQ;8748689;TFU;Torfou;87486894
911;FRMRM;8758034;UOM;Arenc Euroméditerranée;87580340
912;FREJU;8748614;BVD;Bellevigny;87486142
913;FRXRO;8748601;LRY;La Roche-sur-Yon;87486019
914;FREKE;8748632;BNZ;Bournezeau;87486324
915;FREKF;8748633;CTO;Chantonnay;87486332
916;FREKC;8748630;CZC;La Chaize-le-Vicomte;87486308
917;FREKD;8748631;FUE;Fougeré;87486316
918;FRLCN;8748625;L;Luçon;87486258
919;FREKO;8748656;SHZ;Saint-Hilaire-de-Riez;87486563
920;FRXGV;8748657;SGV;Saint-Gilles-Croix-de-Vie;87486571
921;FREKJ;8748643;OSM;Olonne-sur-Mer;87486431
922;FRLSO;8748644;LSO;Les Sables-d'Olonne;87486449
923;FREKI;8748642;LEH;La Mothe-Achard;87486423
924;FRSSA;8763558;EBE;La Barasse;87635581
925;FRMUB;8738654;MBF;Munster Badischhof;87386540
926;FRDFZ;8738657;PSY;Poissy;87386573
927;FRDFV;8738640;HAR;Houilles - Carrières-sur-Seine;87386409
928;FRDFW;8738641;SVL;Sartrouville;87386417
929;FRDFX;8738642;MLF;Maisons-Laffitte;87386425
930;FRDGF;8738673;AEH;Aubergenville Élisabethville;87386730
931;FRDGG;8738676;EPO;Épône - Mézières;87386763
932;FRDGB;8738664;VSW;Villennes-sur-Seine;87386649
933;FRDGC;8738665;VET;Vernouillet - Verneuil;87386656
934;FRDGD;8738666;KVE;Les Clairières de Verneuil;87386664
935;FRDGE;8738668;LMU;Les Mureaux;87386680
936;FRBAW;8714621;XNB;Saint-Nabord;87146217
937;FRDFQ;8738600;LGK;La Garenne-Colombes;87386003
938;FREIG;8738605;GCR;Achères Grand Cormier;87386052
939;FRDFR;8738630;LWA;Les Vallées;87386300
940;FRDFS;8738631;NUN;Nanterre Université;87386318
941;FREGT;8748177;BSK;Batz-sur-Mer;87481770
942;FREGU;8748178;LCC;Le Croisic;87481788
943;FRJEE;8748175;LBE;La Baule-Escoublac;87481754
944;FREGS;8748176;LIG;Le Pouliguen;87481762
945;FREGR;8748174;PNI;Pornichet;87481747
946;FRMDB;8748171;MDB;Montoir-de-Bretagne;87481713
947;FREGP;8748172;DGS;Donges;87481721
948;FRSNR;8748170;SN;Saint-Nazaire;87481705
949;FRCTB;8748164;CTB;Châteaubriant;87481648
950;FRVKW;8748162;ISE;Issé;87481622
951;FRVKV;8748161;AAT;Abbaretz;87481614
952;FREGO;8748168;XDM;La Croix de Méan;87481689
953;FRXBP;8748169;BFP;La Baule Les Pins;87481697
954;FRPCT;8748184;PCU;Pontchâteau;87481846
955;FREGX;8748182;CDQ;Cordemais;87481820
956;FRSNY;8748183;SNY;Savenay;87481838
957;FREGV;8748180;CNQ;Couëron;87481804
958;FREGW;8748181;SDQ;Saint-Étienne-de-Montluc;87481812
959;FRAEY;8773188;AES;Alleyras;87731885
960;FRHJW;8773182;LDQ;Lachaud-Curmilhac;87731828
961;FRZGV;8700147;RYR;Aéroport Charles de Gaulle 2 TGV (RER);87001479
962;FREFN;8748119;ANC;Ancenis;87481192
963;FREFL;8748117;BBF;Boussay - La Bruffière;87481176
964;FREFM;8748118;OD;Oudon;87481184
965;FREFJ;8748115;MUE;Mauves-sur-Loire;87481150
966;FREFK;8748116;LEI;Le Cellier;87481168
967;FREFI;8748114;THE;Thouaré-sur-Loire;87481143
968;FRNTE;8748100;NS;Nantes;87481002
969;FREFE;8748106;LBI;Basse Indre - Saint-Herblain;87481069
970;FREFD;8748105;CHA;Chantenay;87481051
971;FREFC;8748103;RPT;Rezé Pont Rousseau;87481036
972;FRCLS;8748139;CLS;Challans;87481390
973;FREFW;8748136;MCC;Machecoul;87481366
974;FRSPZ;8748122;SPZ;Sainte-Pazanne;87481226
976;FREFO;8748120;BLQ;Bouaye;87481200
977;FREFP;8748121;PXS;Port-Saint-Père - Saint-Mars;87481218
978;FREFS;8748126;BNX;La Bernerie-en-Retz;87481267
979;FREFQ;8748124;BGZ;Bourgneuf-en-Retz;87481242
980;FREFR;8748125;MVB;Les Moutiers-en-Retz;87481259
981;FREIF;8748156;HPC;La Chapelle Centre;87481564
982;FRNOR;8748159;NSE;Nort-sur-Erdre;87481598
983;FRCLI;8748144;CLI;Clisson;87481440
984;FREGD;8748145;KUG;Cugand;87481457
985;FREGA;8748142;PLL;Le Pallet;87481424
986;FREGB;8748143;GOE;Gorges;87481432
987;FREFY;8748140;VT;Vertou;87481408
988;FREFZ;8748141;HFO;La Haie-Fouassière;87481416
989;FREGE;8748146;MTV;Montaigu (Vendée);87481465
990;FREAJ;8714732;MGV;Meuse TGV;87147322
991;FRDGO;8738714;BVU;La Bonneville-sur-Iton;87387142
992;FRDGP;8738715;CCH;Conches;87387159
993;FRDGQ;8738717;RYP;Romilly-la-Puthenaye;87387175
994;FRDGR;8738718;BLR;Beaumont-le-Roger;87387183
