id;ref:FR:sncf:resarail;UIC;railway:ref;name;ref:FR:uic8
115;FRENJ;8749135;SJA;Saint-Jean-d'Angély;87491357
116;FRHNW;8774110;VOZ;Vions - Chanaz;87741108
117;FRENH;8749132;SBZ;Saint-Hilaire - Brizambourg;87491324
118;FRHNX;8774111;CWX;Chindrieux;87741116
119;FRMML;8774118;MML;Montmélian;87741181
120;FRHNZ;8774114;VVQ;Viviers-du-Lac;87741140
121;FRENR;8749150;CSC;Châteauneuf-sur-Charente;87491506
122;FRHOO;8774145;SBR;Saint-Béron - La Bridoire;87741454
123;FRHOM;8774143;LPL;Lépin-le-Lac - La Bauche;87741439
124;FRHOL;8774142;AGQ;Aiguebelette-le-Lac;87741421
125;FRENX;8749181;SJ;Saujon;87491811
126;FRRYN;8749180;ROY;Royan;87491803
127;FRHOS;8774149;FII;Les Abrets - Fitilieu;87741496
128;FRHOQ;8774147;POB;Pont-de-Beauvoisin;87741470
129;FRHOT;8774150;VRU;Virieu-le-Grand - Belley;87741504
130;FRHOF;8774123;CSK;Chamousset;87741231
131;FRSPA;8774122;SPA;Saint-Pierre-d'Albigny;87741223
132;FRHOH;8774128;EIR;Épierre - Saint-Léger;87741280
133;FRAGB;8774125;AEB;Aiguebelle;87741256
134;FRHOJ;8774130;SVB;Saint-Avre - La Chambre;87741306
135;FREMJ;8749101;BOR;Bords;87491019
136;FRXST;8749100;SS;Saintes;87491001
137;FRBIL;8749107;BIL;Beillant;87491076
138;FREML;8749103;SNH;Saint-Savinien;87491035
139;FREMY;8749123;ATX;Aubie - Saint-Antoine;87491233
140;FREMZ;8749124;SAC;Saint-André-de-Cubzac;87491241
141;FREMW;8749121;CGC;Cavignac;87491217
142;FREMX;8749122;GGT;Gauriaguet;87491225
143;FREMV;8749120;SMS;Saint-Mariens - Saint-Yzan;87491209
144;FRENF;8749129;LLY;Loulay;87491290
145;FREND;8749127;GVA;La Grave d'Ambarès;87491274
146;FRENE;8749128;SEK;Sainte-Eulalie - Carbon-Blanc;87491282
147;FRENA;8749125;VVK;Villeneuve-la-Comtesse;87491258
148;FRENB;8749126;KBZ;Cubzac-les-Ponts;87491266
149;FREMO;8749110;PN;Pons;87491100
150;FREMT;8749118;MMM;Montendre;87491183
151;FREMU;8749119;BMR;Bussac;87491191
152;FREMR;8749114;JO;Jonzac;87491142
153;FRMGN;8740098;MXN;Magneux - Courlandon;87400986
154;FRCNY;8729656;API;Anizy - Pinon;87296566
155;FRCNZ;8729660;VSI;Versigny;87296608
156;FRCOA;8729661;CNY;Chauny;87296616
157;FRCOC;8729663;FER;La Fère;87296632
158;FRERU;8754631;CHQ;Chemin d'Antony;87546317
159;FRERS;8754622;LSW;Les Saules;87546226
160;FRERT;8754629;RF;Rungis La Fraternelle;87546291
161;FRORY;8754620;OY;Orly Ville;87546200
162;FRERQ;8754619;PRU;Pont de Rungis Aéroport d'Orly;87546192
163;FRCOD;8729687;FAM;Flavy-le-Martel;87296871
164;FRXSJ;8729600;SQ;Saint-Quentin;87296004
165;FRXLN;8729601;LAO;Laon;87296012
166;FRCNA;8729609;MR;Marle sur Serre;87296095
167;FRCND;8729614;OGY;Origny-en-Thiérache;87296145
168;FRCNC;8729612;VEV;Vervins;87296129
169;FRCNH;8729617;ONS;Clacy - Mons;87296178
